date,description
01-Jan-1991,Neujahr
29-Mar-1991,Karfreitag
01-Apr-1991,Ostermontag
01-May-1991,Tag der Arbeit
09-May-1991,Christi Himmelfahrt
20-May-1991,Pfingstmontag
03-Oct-1991,Tag der Deutschen Einheit
31-Oct-1991,Reformationstag
20-Nov-1991,Buß- und Bettag
25-Dec-1991,1. Weihnachtsfeiertag
26-Dec-1991,2. Weihnachtsfeiertag
01-Jan-1992,Neujahr
17-Apr-1992,Karfreitag
20-Apr-1992,Ostermontag
01-May-1992,Tag der Arbeit
28-May-1992,Christi Himmelfahrt
08-Jun-1992,Pfingstmontag
03-Oct-1992,Tag der Deutschen Einheit
31-Oct-1992,Reformationstag
18-Nov-1992,Buß- und Bettag
25-Dec-1992,1. Weihnachtsfeiertag
26-Dec-1992,2. Weihnachtsfeiertag
01-Jan-1993,Neujahr
09-Apr-1993,Karfreitag
12-Apr-1993,Ostermontag
01-May-1993,Tag der Arbeit
20-May-1993,Christi Himmelfahrt
31-May-1993,Pfingstmontag
03-Oct-1993,Tag der Deutschen Einheit
31-Oct-1993,Reformationstag
17-Nov-1993,Buß- und Bettag
25-Dec-1993,1. Weihnachtsfeiertag
26-Dec-1993,2. Weihnachtsfeiertag
01-Jan-1994,Neujahr
01-Apr-1994,Karfreitag
04-Apr-1994,Ostermontag
01-May-1994,Tag der Arbeit
12-May-1994,Christi Himmelfahrt
23-May-1994,Pfingstmontag
03-Oct-1994,Tag der Deutschen Einheit
31-Oct-1994,Reformationstag
16-Nov-1994,Buß- und Bettag
25-Dec-1994,1. Weihnachtsfeiertag
26-Dec-1994,2. Weihnachtsfeiertag
01-Jan-1995,Neujahr
14-Apr-1995,Karfreitag
17-Apr-1995,Ostermontag
01-May-1995,Tag der Arbeit
25-May-1995,Christi Himmelfahrt
05-Jun-1995,Pfingstmontag
03-Oct-1995,Tag der Deutschen Einheit
31-Oct-1995,Reformationstag
22-Nov-1995,Buß- und Bettag
25-Dec-1995,1. Weihnachtsfeiertag
26-Dec-1995,2. Weihnachtsfeiertag
01-Jan-1996,Neujahr
05-Apr-1996,Karfreitag
08-Apr-1996,Ostermontag
01-May-1996,Tag der Arbeit
16-May-1996,Christi Himmelfahrt
27-May-1996,Pfingstmontag
03-Oct-1996,Tag der Deutschen Einheit
31-Oct-1996,Reformationstag
20-Nov-1996,Buß- und Bettag
25-Dec-1996,1. Weihnachtsfeiertag
26-Dec-1996,2. Weihnachtsfeiertag
01-Jan-1997,Neujahr
28-Mar-1997,Karfreitag
31-Mar-1997,Ostermontag
01-May-1997,Tag der Arbeit
08-May-1997,Christi Himmelfahrt
19-May-1997,Pfingstmontag
03-Oct-1997,Tag der Deutschen Einheit
31-Oct-1997,Reformationstag
19-Nov-1997,Buß- und Bettag
25-Dec-1997,1. Weihnachtsfeiertag
26-Dec-1997,2. Weihnachtsfeiertag
01-Jan-1998,Neujahr
10-Apr-1998,Karfreitag
13-Apr-1998,Ostermontag
01-May-1998,Tag der Arbeit
21-May-1998,Christi Himmelfahrt
01-Jun-1998,Pfingstmontag
03-Oct-1998,Tag der Deutschen Einheit
31-Oct-1998,Reformationstag
18-Nov-1998,Buß- und Bettag
25-Dec-1998,1. Weihnachtsfeiertag
26-Dec-1998,2. Weihnachtsfeiertag
01-Jan-1999,Neujahr
02-Apr-1999,Karfreitag
05-Apr-1999,Ostermontag
01-May-1999,Tag der Arbeit
13-May-1999,Christi Himmelfahrt
24-May-1999,Pfingstmontag
03-Oct-1999,Tag der Deutschen Einheit
31-Oct-1999,Reformationstag
17-Nov-1999,Buß- und Bettag
25-Dec-1999,1. Weihnachtsfeiertag
26-Dec-1999,2. Weihnachtsfeiertag
01-Jan-2000,Neujahr
21-Apr-2000,Karfreitag
24-Apr-2000,Ostermontag
01-May-2000,Tag der Arbeit
01-Jun-2000,Christi Himmelfahrt
12-Jun-2000,Pfingstmontag
03-Oct-2000,Tag der Deutschen Einheit
31-Oct-2000,Reformationstag
22-Nov-2000,Buß- und Bettag
25-Dec-2000,1. Weihnachtsfeiertag
26-Dec-2000,2. Weihnachtsfeiertag
01-Jan-2001,Neujahr
13-Apr-2001,Karfreitag
16-Apr-2001,Ostermontag
01-May-2001,Tag der Arbeit
24-May-2001,Christi Himmelfahrt
04-Jun-2001,Pfingstmontag
03-Oct-2001,Tag der Deutschen Einheit
31-Oct-2001,Reformationstag
21-Nov-2001,Buß- und Bettag
25-Dec-2001,1. Weihnachtsfeiertag
26-Dec-2001,2. Weihnachtsfeiertag
01-Jan-2002,Neujahr
29-Mar-2002,Karfreitag
01-Apr-2002,Ostermontag
01-May-2002,Tag der Arbeit
09-May-2002,Christi Himmelfahrt
20-May-2002,Pfingstmontag
03-Oct-2002,Tag der Deutschen Einheit
31-Oct-2002,Reformationstag
20-Nov-2002,Buß- und Bettag
25-Dec-2002,1. Weihnachtsfeiertag
26-Dec-2002,2. Weihnachtsfeiertag
01-Jan-2003,Neujahr
18-Apr-2003,Karfreitag
21-Apr-2003,Ostermontag
01-May-2003,Tag der Arbeit
29-May-2003,Christi Himmelfahrt
09-Jun-2003,Pfingstmontag
03-Oct-2003,Tag der Deutschen Einheit
31-Oct-2003,Reformationstag
19-Nov-2003,Buß- und Bettag
25-Dec-2003,1. Weihnachtsfeiertag
26-Dec-2003,2. Weihnachtsfeiertag
01-Jan-2004,Neujahr
09-Apr-2004,Karfreitag
12-Apr-2004,Ostermontag
01-May-2004,Tag der Arbeit
20-May-2004,Christi Himmelfahrt
31-May-2004,Pfingstmontag
03-Oct-2004,Tag der Deutschen Einheit
31-Oct-2004,Reformationstag
17-Nov-2004,Buß- und Bettag
25-Dec-2004,1. Weihnachtsfeiertag
26-Dec-2004,2. Weihnachtsfeiertag
01-Jan-2005,Neujahr
25-Mar-2005,Karfreitag
28-Mar-2005,Ostermontag
01-May-2005,Tag der Arbeit
05-May-2005,Christi Himmelfahrt
16-May-2005,Pfingstmontag
03-Oct-2005,Tag der Deutschen Einheit
31-Oct-2005,Reformationstag
16-Nov-2005,Buß- und Bettag
25-Dec-2005,1. Weihnachtsfeiertag
26-Dec-2005,2. Weihnachtsfeiertag
01-Jan-2006,Neujahr
14-Apr-2006,Karfreitag
17-Apr-2006,Ostermontag
01-May-2006,Tag der Arbeit
25-May-2006,Christi Himmelfahrt
05-Jun-2006,Pfingstmontag
03-Oct-2006,Tag der Deutschen Einheit
31-Oct-2006,Reformationstag
22-Nov-2006,Buß- und Bettag
25-Dec-2006,1. Weihnachtsfeiertag
26-Dec-2006,2. Weihnachtsfeiertag
01-Jan-2007,Neujahr
06-Apr-2007,Karfreitag
09-Apr-2007,Ostermontag
01-May-2007,Tag der Arbeit
17-May-2007,Christi Himmelfahrt
28-May-2007,Pfingstmontag
03-Oct-2007,Tag der Deutschen Einheit
31-Oct-2007,Reformationstag
21-Nov-2007,Buß- und Bettag
25-Dec-2007,1. Weihnachtsfeiertag
26-Dec-2007,2. Weihnachtsfeiertag
01-Jan-2008,Neujahr
21-Mar-2008,Karfreitag
24-Mar-2008,Ostermontag
01-May-2008,Tag der Arbeit
01-May-2008,Christi Himmelfahrt
12-May-2008,Pfingstmontag
03-Oct-2008,Tag der Deutschen Einheit
31-Oct-2008,Reformationstag
19-Nov-2008,Buß- und Bettag
25-Dec-2008,1. Weihnachtsfeiertag
26-Dec-2008,2. Weihnachtsfeiertag
01-Jan-2009,Neujahr
10-Apr-2009,Karfreitag
13-Apr-2009,Ostermontag
01-May-2009,Tag der Arbeit
21-May-2009,Christi Himmelfahrt
01-Jun-2009,Pfingstmontag
03-Oct-2009,Tag der Deutschen Einheit
