Koordinatensystem : Lambert konform konisch
Rechtswert        : 4333500 Meter
Hochwert          : 2717500 Meter
Hoehenlage        : 328 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4333500 2717500  1  1  1   0.9  963 201  5.8 8  3.7  86    0    0 308 -311  0
4333500 2717500  1  1  2   1.3  963 210  6.9 7  3.7  86    0    0 299 -311  0
4333500 2717500  1  1  3   1.7  964 199  5.4 6  3.8  86    0    0 282 -311  0
4333500 2717500  1  1  4   1.5  964 206  5.0 6  3.8  86    0    0 275 -311  0
4333500 2717500  1  1  5   0.7  964 210  6.4 4  3.8  88    0    0 258 -312  0
4333500 2717500  1  1  6   0.5  964 219  4.9 5  3.7  89    0    0 247 -312  0
4333500 2717500  1  1  7   0.0  964 201  4.4 7  3.6  89    0    0 268 -312  0
4333500 2717500  1  1  8  -0.1  965 198  4.2 7  3.5  89    0    0 285 -312  0
4333500 2717500  1  1  9   0.2  966 210  3.7 8  3.5  88    2   15 294 -312  0
4333500 2717500  1  1 10   0.3  966 201  3.9 8  3.5  86    0   43 304 -314  0
4333500 2717500  1  1 11   0.8  967 205  3.9 8  3.5  86    0   57 305 -315  0
4333500 2717500  1  1 12   1.3  967 199  4.0 8  3.6  84    0   73 305 -315  0
4333500 2717500  1  1 13   1.0  967 205  4.2 7  3.7  85   21  141 297 -315  0
4333500 2717500  1  1 14   1.3  967 221  2.5 6  3.7  86   16  120 283 -316  0
4333500 2717500  1  1 15   1.0  967 236  3.1 7  3.7  87    0   45 282 -315  0
4333500 2717500  1  1 16   1.2  968 203  2.2 7  3.8  88    0   10 290 -315  0
4333500 2717500  1  1 17   1.0  968 215  1.3 7  3.8  88    0    0 289 -315  0
4333500 2717500  1  1 18   1.2  969 212  2.1 7  3.8  88    0    0 289 -315  0
4333500 2717500  1  1 19   0.9  970 224  1.7 7  3.8  89    0    0 288 -313  0
4333500 2717500  1  1 20   0.9  970 233  1.6 7  3.8  90    0    0 288 -312  0
4333500 2717500  1  1 21   1.2  971 237  2.2 8  3.8  89    0    0 296 -311  0
4333500 2717500  1  1 22   1.2  971 343  1.7 8  3.8  88    0    0 303 -311  0
4333500 2717500  1  1 23   1.0  971 247  1.4 8  3.8  89    0    0 303 -311  0
4333500 2717500  1  1 24   0.8  972  90  0.4 8  3.8  91    0    0 303 -312  0
4333500 2717500  1  2  1   1.1  972 354  0.0 8  3.9  91    0    0 303 -312  0
4333500 2717500  1  2  2   0.5  972   3  0.0 5  3.8  91    0    0 277 -312  0
4333500 2717500  1  2  3   0.4  973   0  0.0 5  3.7  92    0    0 247 -312  0
4333500 2717500  1  2  4   0.4  974   3  0.0 6  3.8  92    0    0 252 -312  0
4333500 2717500  1  2  5   0.3  974 344  0.8 7  3.7  92    0    0 272 -312  0
