Koordinatensystem : Lambert konform konisch
Rechtswert        : 4072500 Meter
Hochwert          : 2349500 Meter
Hoehenlage        : 787 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4072500 2349500  1  1  1   1.3  913 210  6.4 8  4.4  95    0    0 309 -317  0
4072500 2349500  1  1  2   1.5  913 220  5.1 8  4.4  95    0    0 309 -317  0
4072500 2349500  1  1  3   1.2  913 230  4.9 8  4.4  95    0    0 308 -317  0
4072500 2349500  1  1  4   1.4  913 230  4.0 7  4.4  95    0    0 299 -316  0
4072500 2349500  1  1  5   0.4  913 240  4.4 5  4.4  97    0    0 271 -316  0
4072500 2349500  1  1  6   0.0  913 240  5.8 8  4.3 100    0    0 276 -316  0
4072500 2349500  1  1  7  -0.3  913 210  4.4 8  4.2 100    0    0 301 -316  0
4072500 2349500  1  1  8   0.3  913 250  4.2 8  4.2  99    0    0 301 -316  0
4072500 2349500  1  1  9   0.2  914 250  3.9 6  4.2  99    0    4 284 -316  0
4072500 2349500  1  1 10   0.6  915 270  7.9 6  4.3  98   10   79 267 -316  0
4072500 2349500  1  1 11   0.8  916 250  7.7 7  4.3  97   19  123 276 -316  0
4072500 2349500  1  1 12   1.1  916 260  7.0 6  4.3  95   12  141 276 -317  0
4072500 2349500  1  1 13   1.4  916 260  7.5 7  4.3  93   23  162 279 -316  0
4072500 2349500  1  1 14   1.7  916 260  6.2 6  4.2  90   23  150 282 -316  0
4072500 2349500  1  1 15   1.4  916 300  3.9 6  4.1  88   29  105 274 -316  0
4072500 2349500  1  1 16   1.2  916 230  2.0 6  4.1  88    6   51 274 -316  0
4072500 2349500  1  1 17   0.6  916 130  1.8 6  4.0  90    0    0 272 -316  0
4072500 2349500  1  1 18   0.3  916 130  3.6 6  4.0  93    0    0 269 -315  0
4072500 2349500  1  1 19   0.3  916 130  3.7 7  4.1  95    0    0 275 -315  0
4072500 2349500  1  1 20   0.1  916 130  3.3 7  4.0  94    0    0 283 -314  0
