Koordinatensystem : Lambert konform konisch
Rechtswert        : 3766500 Meter
Hochwert          : 2561500 Meter
Hoehenlage        : 192 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3766500 2561500  1  1  1   6.4  978 214  5.6 8  6.0  96    0    0 324 -332  0
3766500 2561500  1  1  2   5.1  978 216  5.0 8  5.5  96    0    0 325 -332  0
3766500 2561500  1  1  3   4.0  978 215  4.7 7  5.1  96    0    0 315 -331  0
3766500 2561500  1  1  4   4.0  979 213  5.0 7  5.0  96    0    0 307 -331  0
3766500 2561500  1  1  5   3.8  979 211  5.1 7  5.0  96    0    0 306 -331  0
3766500 2561500  1  1  6   3.7  979 211  5.0 8  4.9  96    0    0 313 -331  0
3766500 2561500  1  1  7   3.6  980 209  4.3 8  4.9  96    0    0 322 -331  0
3766500 2561500  1  1  8   3.4  980 199  4.1 8  4.9  97    0    0 321 -330  0
3766500 2561500  1  1  9   3.6  980 198  4.9 8  4.9  98    0    0 321 -330  0
3766500 2561500  1  1 10   4.1  981 192  6.2 7  5.0  97    0   40 313 -331  0
3766500 2561500  1  1 11   4.2  981 208  5.3 7  5.1  97    0   65 305 -331  0
3766500 2561500  1  1 12   5.5  981 179  6.1 5  5.2  93   28  133 289 -332  0
3766500 2561500  1  1 13   4.7  981 190  6.4 7  5.0  89    9  123 292 -333  0
3766500 2561500  1  1 14   4.3  981 181  5.6 6  5.0  92   11  116 300 -333  0
3766500 2561500  1  1 15   3.8  981 148  3.7 6  5.0  95   24   85 292 -333  0
3766500 2561500  1  1 16   3.8  981 176  3.0 8  4.9  95    0    8 305 -332  0
3766500 2561500  1  1 17   3.6  981 157  3.4 8  4.9  95    0    0 319 -330  0
3766500 2561500  1  1 18   3.6  982 142  4.7 8  4.8  96    0    0 319 -328  0
3766500 2561500  1  1 19   3.5  982 159  1.6 8  4.8  96    0    0 319 -327  0
3766500 2561500  1  1 20   3.5  983 104  1.4 8  4.8  95    0    0 318 -326  0
3766500 2561500  1  1 21   3.6  984 101  1.8 7  4.8  95    0    0 311 -324  0
3766500 2561500  1  1 22   3.4  985 173  1.6 8  4.8  96    0    0 311 -323  0
3766500 2561500  1  1 23   3.0  985  81  1.2 7  4.7  96    0    0 310 -323  0
3766500 2561500  1  1 24   2.9  986  46  2.6 6  4.6  96    0    0 294 -322  0
3766500 2561500  1  2  1   2.8  987  63  2.6 6  4.6  96    0    0 284 -320  0
3766500 2561500  1  2  2   2.6  987  32  1.5 7  4.6  97    0    0 290 -318  0
3766500 2561500  1  2  3   2.7  988  47  2.6 8  4.6  97    0    0 306 -318  0
3766500 2561500  1  2  4   2.7  989  31  2.5 7  4.6  98    0    0 304 -318  0
3766500 2561500  1  2  5   2.7  990  38  3.1 8  4.6  98    0    0 303 -318  0
3766500 2561500  1  2  6   2.7  991  34  3.7 8  4.6  98    0    0 312 -318  0
3766500 2561500  1  2  7   2.7  992   4  3.5 8  4.6  98    0    0 312 -318  0
3766500 2561500  1  2  8   2.7  993  22  2.6 7  4.6  98    0    0 303 -318  0
3766500 2561500  1  2  9   2.8  994 205  2.7 8  4.7  99    0    0 302 -318  0
3766500 2561500  1  2 10   2.9  994  21  2.2 6  4.7  99    7   48 294 -319  0
