Koordinatensystem : Lambert konform konisch
Rechtswert        : 3766500 Meter
Hochwert          : 2561500 Meter
Hoehenlage        : 192 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3766500 2561500  1  1  1 -14.3  994  48  6.2 0  1.0  82    0    0 162 -280  0
3766500 2561500  1  1  2 -14.7  994  48  6.3 0  1.0  83    0    0 159 -280  0
3766500 2561500  1  1  3 -15.1  994  45  5.7 0  1.0  83    0    0 159 -281  0
3766500 2561500  1  1  4 -15.2  993  49  5.2 0  1.0  83    0    0 159 -281  0
3766500 2561500  1  1  5 -15.6  993  49  5.4 0  1.0  83    0    0 159 -281  0
3766500 2561500  1  1  6 -15.6  993  45  5.8 2  0.9  82    0    0 167 -281  0
3766500 2561500  1  1  7 -15.6  993  51  6.2 1  0.9  82    0    0 171 -281  0
3766500 2561500  1  1  8 -15.4  993  57  6.2 3  0.9  82    0    0 175 -279  0
3766500 2561500  1  1  9 -15.4  993  49  4.4 3  1.0  82    0    3 184 -279  0
3766500 2561500  1  1 10 -15.1  994  52  5.4 2  1.0  82    9   52 179 -280  0
3766500 2561500  1  1 11 -14.3  995  50  5.1 2  1.0  82   22  100 177 -283  0
3766500 2561500  1  1 12 -13.7  996  64  4.6 3  1.0  80   36  136 182 -289  0
3766500 2561500  1  1 13 -12.9  995 131  4.0 5  1.1  77    6  116 197 -295  0
3766500 2561500  1  1 14 -11.7  995 149  3.4 7  1.1  75    0   74 217 -301  0
3766500 2561500  1  1 15 -11.6  995  65  1.7 4  1.2  74   16   95 214 -305  0
3766500 2561500  1  1 16 -11.8  995  47  2.6 5  1.2  74   19   56 205 -304  0
3766500 2561500  1  1 17 -12.4  996  39  2.8 3  1.1  75    4   14 200 -299  0
3766500 2561500  1  1 18 -13.0  997  46  1.9 3  1.1  78    0    0 191 -293  0
3766500 2561500  1  1 19 -13.1  997  16  2.9 4  1.1  80    0    0 193 -288  0
3766500 2561500  1  1 20 -12.9  997  49  3.6 5  1.1  79    0    0 200 -284  0
3766500 2561500  1  1 21 -12.9  997  61  2.0 6  1.1  80    0    0 208 -282  0
3766500 2561500  1  1 22 -12.9  998  18  1.0 7  1.1  80    0    0 215 -280  0
3766500 2561500  1  1 23 -12.9  998  43  1.6 7  1.1  80    0    0 218 -278  0
3766500 2561500  1  1 24 -12.8  998  45  1.5 8  1.1  80    0    0 221 -276  0
3766500 2561500  1  2  1 -13.5  998  45  1.7 4  1.1  80    0    0 213 -275  0
3766500 2561500  1  2  2 -13.9  998  46  1.7 2  1.1  79    0    0 193 -274  0
3766500 2561500  1  2  3 -14.1  998  48  2.1 4  1.1  82    0    0 193 -273  0
3766500 2561500  1  2  4 -13.6  999  46  1.5 7  1.1  83    0    0 211 -272  0
3766500 2561500  1  2  5 -13.3  998  45  2.0 7  1.1  81    0    0 223 -271  0
3766500 2561500  1  2  6 -13.4  998  53  2.4 7  1.1  82    0    0 224 -271  0
3766500 2561500  1  2  7 -13.7  997  54  1.8 4  1.1  82    0    0 213 -271  0
3766500 2561500  1  2  8 -14.2  997  52  2.3 2  1.1  81    0    0 193 -271  0
3766500 2561500  1  2  9 -14.5  997  54  2.1 2  1.0  81    0    4 184 -270  0
3766500 2561500  1  2 10 -14.6  996  58  1.8 1  1.0  83   44   41 179 -271  0
3766500 2561500  1  2 11 -13.9  997  69  2.3 4  1.1  84   37   89 186 -273  0
3766500 2561500  1  2 12 -12.4  997  57  4.7 6  1.1  82   19  110 208 -278  0
3766500 2561500  1  2 13 -10.8  997  55  4.5 5  1.2  79   25  120 216 -284  0
