Koordinatensystem : Lambert konform konisch
Rechtswert        : 4333500 Meter
Hochwert          : 2717500 Meter
Hoehenlage        : 328 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4333500 2717500  1  1  1   2.8  963 203  5.6 8  4.0  83    0    0 308 -311  0
4333500 2717500  1  1  2   2.0  963 204  5.8 7  3.8  84    0    0 299 -311  0
4333500 2717500  1  1  3   1.3  964 205  5.9 6  3.8  86    0    0 282 -311  0
4333500 2717500  1  1  4   1.2  964 208  5.7 6  3.8  87    0    0 275 -311  0
4333500 2717500  1  1  5   0.9  964 208  5.3 5  3.7  87    0    0 258 -312  0
4333500 2717500  1  1  6   0.5  964 219  4.9 5  3.7  89    0    0 247 -312  0
4333500 2717500  1  1  7   0.0  964 201  4.4 7  3.6  89    0    0 268 -312  0
4333500 2717500  1  1  8  -0.1  965 198  4.2 7  3.5  89    0    0 285 -312  0
4333500 2717500  1  1  9   0.2  966 210  3.7 8  3.5  88    2   15 294 -312  0
4333500 2717500  1  1 10   0.3  966 201  3.9 8  3.5  86    0   43 304 -314  0
4333500 2717500  1  1 11   0.8  967 205  3.9 8  3.5  86    0   57 305 -315  0
4333500 2717500  1  1 12   1.3  967 199  4.0 8  3.6  84    0   73 305 -315  0
4333500 2717500  1  1 13   1.0  967 205  4.2 7  3.7  85   21  141 297 -315  0
4333500 2717500  1  1 14   1.3  967 221  2.5 6  3.7  86   16  120 283 -316  0
4333500 2717500  1  1 15   1.0  967 236  3.1 7  3.7  87    0   45 282 -315  0
4333500 2717500  1  1 16   1.2  968 203  2.2 7  3.8  88    0   10 290 -315  0
4333500 2717500  1  1 17   1.0  968 215  1.3 7  3.8  88    0    0 289 -315  0
4333500 2717500  1  1 18   1.2  969 212  2.1 7  3.8  88    0    0 289 -315  0
4333500 2717500  1  1 19   0.9  970 224  1.7 7  3.8  89    0    0 288 -313  0
4333500 2717500  1  1 20   0.9  970 233  1.6 7  3.8  90    0    0 288 -312  0
4333500 2717500  1  1 21   1.2  971 237  2.2 8  3.8  89    0    0 296 -311  0
4333500 2717500  1  1 22   1.2  971 343  1.7 8  3.8  88    0    0 303 -311  0
4333500 2717500  1  1 23   1.0  971 247  1.4 8  3.8  89    0    0 303 -311  0
4333500 2717500  1  1 24   0.8  972  90  0.4 8  3.8  91    0    0 303 -312  0
4333500 2717500  1  2  1   1.1  972 354  0.0 8  3.9  91    0    0 303 -312  0
4333500 2717500  1  2  2   0.5  972   3  0.0 5  3.8  91    0    0 277 -312  0
4333500 2717500  1  2  3   0.4  973   0  0.0 5  3.7  92    0    0 247 -312  0
4333500 2717500  1  2  4   0.4  974   3  0.0 6  3.8  92    0    0 252 -312  0
4333500 2717500  1  2  5   0.3  974 344  0.8 7  3.7  92    0    0 272 -312  0
4333500 2717500  1  2  6   0.3  974 282  1.1 7  3.7  93    0    0 283 -313  0
4333500 2717500  1  2  7   0.3  975 322  1.6 8  3.7  93    0    0 293 -313  0
4333500 2717500  1  2  8   0.4  975 312  0.5 8  3.7  92    0    0 302 -314  0
4333500 2717500  1  2  9  -0.1  975 333  1.8 8  3.7  93    0    3 301 -314  0
4333500 2717500  1  2 10  -0.1  975 313  1.4 3  3.7  94   13   69 257 -314  0
4333500 2717500  1  2 11  -0.2  976 342  2.0 6  3.8  96    9   94 244 -314  0
4333500 2717500  1  2 12  -0.4  976 334  1.1 7  3.8  99    9  117 279 -315  0
4333500 2717500  1  2 13  -0.5  977 333  2.1 8  3.7  97    5  113 293 -315  0
4333500 2717500  1  2 14  -0.9  977 312  2.5 8  3.6  96    0   72 300 -316  0
4333500 2717500  1  2 15  -1.0  977 302  2.3 7  3.5  97    0   32 293 -315  0
4333500 2717500  1  2 16  -1.0  978 312  2.5 8  3.5  96    0    5 293 -315  0
4333500 2717500  1  2 17  -1.5  978 312  1.8 8  3.5  98    0    0 299 -314  0
4333500 2717500  1  2 18  -1.9  979 321  1.6 8  3.4  98    0    0 298 -313  0
4333500 2717500  1  2 19  -2.2  979 330  1.3 8  3.3  98    0    0 297 -313  0
4333500 2717500  1  2 20  -2.4  980 321  1.5 8  3.3 100    0    0 296 -313  0
4333500 2717500  1  2 21  -2.2  980 320  0.8 6  3.3 100    0    0 283 -313  0
4333500 2717500  1  2 22  -1.8  981 311  1.2 8  3.3  98    0    0 284 -314  0
4333500 2717500  1  2 23  -1.6  981 321  1.0 8  3.3  97    0    0 297 -314  0
4333500 2717500  1  2 24  -1.7  981 330  1.4 8  3.4  98    0    0 298 -314  0
4333500 2717500  1  3  1  -1.6  981 326  1.8 8  3.5 100    0    0 298 -314  0
4333500 2717500  1  3  2  -1.3  981 321  1.9 8  3.5  98    0    0 298 -314  0
4333500 2717500  1  3  3  -1.0  982 331  1.8 8  3.5  98    0    0 299 -314  0
4333500 2717500  1  3  4  -0.9  982 332  2.1 8  3.6  98    0    0 298 -314  0
4333500 2717500  1  3  5  -0.7  982 332  2.5 8  3.6  98    0    0 299 -313  0
4333500 2717500  1  3  6  -0.5  982 317  2.4 8  3.7  98    0    0 300 -313  0
4333500 2717500  1  3  7  -0.5  983 332  2.4 8  3.7  99    0    0 300 -313  0
4333500 2717500  1  3  8  -0.4  983 331  2.2 8  3.7  98    0    0 300 -313  0
4333500 2717500  1  3  9  -0.5  983 340  2.7 8  3.7  98    2   16 300 -313  0
4333500 2717500  1  3 10  -0.3  984 342  2.6 6  3.7  98    8   63 287 -313  0
4333500 2717500  1  3 11  -0.2  984 322  2.3 7  3.7  98    0   60 282 -314  0
4333500 2717500  1  3 12  -0.1  985 315  2.9 7  3.8  98    0   60 288 -315  0
4333500 2717500  1  3 13   0.0  985 317  2.7 6  3.8  97    0   76 282 -316  0
4333500 2717500  1  3 14   0.1  985 340  3.2 7  3.8  97    0   52 284 -316  0
