Koordinatensystem : Lambert konform konisch
Rechtswert        : 4072500 Meter
Hochwert          : 2349500 Meter
Hoehenlage        : 787 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4072500 2349500  1  1  1  -2.2  935 257  6.3 8  3.3  91    0    0 302 -317  3
4072500 2349500  1  1  2  -0.5  935 250  6.7 8  3.7  92    0    0 303 -317  3
4072500 2349500  1  1  3   0.9  935 247  7.0 8  4.1  93    0    0 304 -317  3
4072500 2349500  1  1  4   1.1  935 250  6.8 8  4.1  94    0    0 301 -317  3
4072500 2349500  1  1  5   1.2  934 252  6.4 7  4.2  95    0    0 297 -317  3
4072500 2349500  1  1  6   1.3  934 260  6.1 8  4.3  96    0    0 306 -317  3
4072500 2349500  1  1  7   1.4  934 240  5.7 7  4.3  95    0    0 306 -317  3
4072500 2349500  1  1  8   1.4  935 250  8.5 6  4.3  95    0    0 294 -317  3
4072500 2349500  1  1  9   1.4  935 250  6.1 8  4.4  96    3   13 302 -317  3
4072500 2349500  1  1 10   1.7  935 240  5.4 8  4.5  97   31   58 316 -317  3
4072500 2349500  1  1 11   2.4  935 260  8.3 6  4.6  96    8   83 304 -317  3
4072500 2349500  1  1 12   3.0  935 260  6.6 7  4.8  96    1   82 301 -317  3
4072500 2349500  1  1 13   3.8  936 260  7.1 5  5.0  95   24  127 296 -317  3
4072500 2349500  1  1 14   3.6  935 250  6.2 5  4.9  92   42  115 284 -320  3
4072500 2349500  1  1 15   3.5  935 250  4.8 4  4.7  89   36   93 276 -323  3
4072500 2349500  1  1 16   3.9  934 250  4.9 6  4.6  86   48   43 280 -324  3
4072500 2349500  1  1 17   3.3  934 250  4.5 6  4.4  83    1    9 290 -324  3
4072500 2349500  1  1 18   3.2  934 240  4.8 6  4.2  80    0    0 286 -324  3
4072500 2349500  1  1 19   2.6  934 240  8.8 6  4.0  79    0    0 284 -324  3
4072500 2349500  1  1 20   2.9  933 240  5.2 7  4.0  79    0    0 289 -325  3
4072500 2349500  1  1 21   3.0  933 240  4.7 7  4.0  79    0    0 297 -325  3
4072500 2349500  1  1 22   3.3  932 240 11.0 7  4.0  78    0    0 299 -326  3
4072500 2349500  1  1 23   3.2  932 240 11.8 7  4.1  78    0    0 299 -327  3
4072500 2349500  1  1 24   2.5  931 240  6.9 7  4.0  79    0    0 298 -329  3
4072500 2349500  1  2  1   4.6  931 240  7.5 7  4.0  75    0    0 299 -329  3
4072500 2349500  1  2  2   3.1  930 230 12.1 8  4.0  74    0    0 306 -329  3
4072500 2349500  1  2  3   3.8  929 240  6.2 8  4.0  76    0    0 311 -330  3
4072500 2349500  1  2  4   2.1  928 240  7.5 8  4.2  82    0    0 310 -331  3
4072500 2349500  1  2  5   2.5  927 250  9.0 8  4.4  90    0    0 310 -331  3
4072500 2349500  1  2  6   2.5  927 250  9.4 7  4.7  94    0    0 307 -332  3
4072500 2349500  1  2  7   2.6  927 250 10.8 7  4.8  97    0    0 302 -332  3
4072500 2349500  1  2  8   2.4  927 250 10.3 8  4.8  98    0    0 308 -333  3
4072500 2349500  1  2  9   3.8  927 250  9.9 8  4.9  94    4   16 316 -333  3
4072500 2349500  1  2 10   4.1  929 240  9.4 7  5.0  91   17   75 312 -333  3
4072500 2349500  1  2 11   4.5  930 250  9.7 8  5.0  89    2   78 312 -333  3
4072500 2349500  1  2 12   1.7  930 300 10.0 7  4.6  89    0   40 305 -333  3
4072500 2349500  1  2 13   1.7  930 270 10.3 8  4.3  92    0   51 298 -334  3
4072500 2349500  1  2 14   1.8  930 260  9.6 8  4.4  93    0   42 300 -332  3
4072500 2349500  1  2 15   1.4  930 250 10.9 8  4.3  93    0   39 296 -329  3
4072500 2349500  1  2 16   1.2  930 250  9.5 8  4.3  94    0   22 294 -325  3
4072500 2349500  1  2 17   0.7  931 290 10.0 8  4.1  94    0    1 290 -320  3
4072500 2349500  1  2 18   0.5  932 290  7.8 8  4.0  92    0    0 286 -318  3
4072500 2349500  1  2 19   0.2  933 260  9.0 7  3.9  93    0    0 279 -317  3
4072500 2349500  1  2 20  -0.3  935 290  5.9 8  3.8  93    0    0 276 -316  3
4072500 2349500  1  2 21  -0.5  935 280  8.4 7  3.7  92    0    0 274 -314  3
4072500 2349500  1  2 22  -0.5  935 270  8.2 7  3.7  92    0    0 267 -310  3
4072500 2349500  1  2 23  -0.9  936 250  6.5 8  3.6  93    0    0 270 -307  3
4072500 2349500  1  2 24  -0.6  936 250  6.4 6  3.6  93    0    0 265 -306  3
4072500 2349500  1  3  1  -0.8  937 250 10.1 6  3.5  91    0    0 256 -306  3
4072500 2349500  1  3  2  -1.0  937 240  6.8 7  3.5  92    0    0 261 -306  3
4072500 2349500  1  3  3  -0.8  937 260 10.1 6  3.6  94    0    0 262 -306  3
4072500 2349500  1  3  4  -0.9  937 260 10.1 8  3.7  96    0    0 268 -305  3
4072500 2349500  1  3  5  -0.8  938 250 11.6 8  3.7  95    0    0 281 -304  3
4072500 2349500  1  3  6  -0.8  938 260 10.5 7  3.6  94    0    0 277 -304  3
4072500 2349500  1  3  7  -0.9  938 250 10.9 5  3.7  95    0    0 263 -304  3
4072500 2349500  1  3  8  -0.9  938 270 10.6 6  3.7  95    0    0 259 -306  3
4072500 2349500  1  3  9  -0.7  939 250 10.6 7  3.7  95    0    3 272 -307  3
4072500 2349500  1  3 10  -0.5  939 260 10.9 6  3.7  94   30   29 273 -309  3
4072500 2349500  1  3 11  -0.1  940 270 11.8 7  3.7  92    5   63 275 -311  3
4072500 2349500  1  3 12  -0.1  940 260 12.2 7  3.7  91   10   82 281 -312  3
4072500 2349500  1  3 13   0.4  941 250 12.0 7  3.7  89   10   88 283 -314  3
4072500 2349500  1  3 14   0.2  940 250 13.2 7  3.6  87    0   65 284 -314  3
4072500 2349500  1  3 15   0.2  940 250  9.9 7  3.6  86    0   56 285 -314  3
4072500 2349500  1  3 16   0.4  940 250  9.5 7  3.5  84    5   31 285 -314  3
4072500 2349500  1  3 17   0.2  940 250  9.3 7  3.5  84    0    4 285 -313  3
4072500 2349500  1  3 18   0.3  940 250  9.0 8  3.5  84    0    0 291 -313  3
4072500 2349500  1  3 19   0.2  941 240  8.8 8  3.5  84    0    0 297 -313  3
4072500 2349500  1  3 20   0.2  941 250  8.6 8  3.5  84    0    0 297 -314  3
4072500 2349500  1  3 21   0.1  941 240  9.0 8  3.4  83    0    0 299 -314  3
4072500 2349500  1  3 22   0.6  941 250 12.5 8  3.3  80    0    0 300 -314  3
4072500 2349500  1  3 23   0.9  942 250 12.5 8  3.3  77    0    0 300 -315  3
4072500 2349500  1  3 24   0.9  942 250 13.2 8  3.3  77    0    0 300 -316  3
4072500 2349500  1  4  1   0.9  941 250  9.2 8  3.3  77    0    0 300 -316  3
4072500 2349500  1  4  2   0.7  940 260  9.3 8  3.2  75    0    0 299 -316  3
4072500 2349500  1  4  3   0.6  940 250  9.9 8  3.2  75    0    0 298 -316  3
4072500 2349500  1  4  4   0.7  940 250  9.3 8  3.2  74    0    0 296 -316  3
4072500 2349500  1  4  5   0.9  940 250  8.6 8  3.1  72    0    0 297 -316  3
4072500 2349500  1  4  6   0.7  939 250  8.3 8  3.1  71    0    0 296 -316  3
4072500 2349500  1  4  7   0.3  939 260  7.7 5  3.2  75    0    0 281 -316  3
4072500 2349500  1  4  8  -0.6  939 280  7.4 3  3.3  81    0    0 254 -316  3
4072500 2349500  1  4  9   0.0  939 260 10.9 2  3.2  80   13   10 238 -316  3
4072500 2349500  1  4 10   0.2  939 280 11.0 3  3.3  79   49   50 239 -316  3
4072500 2349500  1  4 11   1.7  939 260 10.7 3  3.4  78  115   78 246 -316  3
4072500 2349500  1  4 12   2.8  939 250 10.0 3  3.5  73  136  104 249 -318  3
4072500 2349500  1  4 13   3.9  938 250  9.6 3  3.5  67  132  116 250 -321  3
4072500 2349500  1  4 14   4.6  939 250 10.0 4  3.4  60   67  110 255 -323  3
4072500 2349500  1  4 15   4.9  938 260 10.8 4  3.1  54   24   87 257 -323  3
4072500 2349500  1  4 16   4.9  938 250  6.6 5  3.0  51    9   44 257 -321  3
4072500 2349500  1  4 17   4.4  938 250  5.8 5  2.9  51    0    3 258 -318  3
4072500 2349500  1  4 18   5.0  938 240  5.0 3  2.8  49    0    0 249 -316  3
4072500 2349500  1  4 19   4.6  938 240  4.3 2  2.6  45    0    0 236 -316  3
