Koordinatensystem : Lambert konform konisch
Rechtswert        : 3766500 Meter
Hochwert          : 2561500 Meter
Hoehenlage        : 192 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3766500 2561500  1  1  1   3.6  973 219  4.9 8  4.8  95    0    0 279 -311  2
3766500 2561500  1  1  2   3.5  973 227  4.7 8  4.8  94    0    0 286 -311  2
3766500 2561500  1  1  3   3.3  973 241  4.1 7  4.8  94    0    0 290 -312  2
3766500 2561500  1  1  4   2.9  973 262  3.4 6  4.6  93    0    0 283 -313  2
3766500 2561500  1  1  5   2.4  974 274  2.8 6  4.5  93    0    0 272 -312  2
3766500 2561500  1  1  6   2.0  975 331  2.6 2  4.2  91    0    0 247 -312  2
3766500 2561500  1  1  7   1.7  976 274  2.1 5  4.1  91    0    0 243 -311  2
3766500 2561500  1  1  8   1.2  977 262  2.5 7  4.0  90    0    0 265 -309  2
3766500 2561500  1  1  9   1.8  977 275  3.4 7  3.9  90    0    4 273 -307  2
3766500 2561500  1  1 10   2.1  979 288  3.1 7  4.0  88    5   42 273 -307  2
3766500 2561500  1  1 11   2.5  980 302  4.1 7  3.9  84    1   63 273 -309  2
3766500 2561500  1  1 12   2.7  981 253  4.2 8  3.9  82    0   48 278 -312  2
3766500 2561500  1  1 13   2.9  981 304  4.7 8  3.7  76    0   43 281 -313  2
3766500 2561500  1  1 14   2.8  982 279  5.6 7  3.3  70    0   55 276 -314  2
3766500 2561500  1  1 15   2.5  981 289  5.6 7  3.1  66    4   76 272 -314  2
3766500 2561500  1  1 16   1.8  981 281  7.8 7  2.9  63   12   50 269 -314  2
3766500 2561500  1  1 17   1.2  982 272  6.0 6  2.8  64    1   10 262 -313  2
3766500 2561500  1  1 18   1.0  982 234  5.6 6  2.7  63    0    0 255 -312  2
3766500 2561500  1  1 19   0.6  983 262  5.7 8  2.5  60    0    0 260 -311  2
3766500 2561500  1  1 20   0.5  983 244  5.4 7  2.4  59    0    0 265 -311  2
3766500 2561500  1  1 21  -1.2  983 279  5.3 7  2.8  73    0    0 264 -310  2
3766500 2561500  1  1 22  -0.7  984 263  5.2 6  3.3  89    0    0 261 -309  2
3766500 2561500  1  1 23  -0.5  984 244  4.2 6  3.3  87    0    0 259 -308  2
3766500 2561500  1  1 24  -0.8  984 242  4.0 6  3.2  87    0    0 259 -308  2
3766500 2561500  1  2  1  -0.6  985 255  3.1 7  3.3  89    0    0 263 -307  2
3766500 2561500  1  2  2  -0.5  984 256  3.3 6  3.3  89    0    0 265 -306  2
3766500 2561500  1  2  3  -0.5  984 273  3.2 6  3.3  88    0    0 262 -306  2
3766500 2561500  1  2  4  -0.4  984 260  2.8 8  3.3  88    0    0 272 -307  2
3766500 2561500  1  2  5  -0.6  984 285  3.3 8  3.4  90    0    0 282 -308  2
3766500 2561500  1  2  6  -0.4  985 283  3.6 7  3.4  90    0    0 279 -308  2
3766500 2561500  1  2  7  -0.1  985 312  4.5 5  3.4  88    0    0 265 -308  2
3766500 2561500  1  2  8   0.0  986 273  4.2 7  3.2  84    0    0 266 -311  2
3766500 2561500  1  2  9   0.0  987 260  3.8 8  3.1  80    0    0 281 -312  2
3766500 2561500  1  2 10   0.2  987 268  4.7 7  3.1  79    0   25 281 -312  2
3766500 2561500  1  2 11   0.2  988 254  4.5 7  3.3  83    0   38 277 -315  2
3766500 2561500  1  2 12   0.2  988 264  4.7 8  3.5  89    0   43 284 -317  2
3766500 2561500  1  2 13   1.0  989 295  4.3 7  3.8  93    0   68 286 -318  2
3766500 2561500  1  2 14   2.0  989 276  5.3 6  3.9  89    0   63 277 -318  2
3766500 2561500  1  2 15   2.2  989 295  4.7 8  3.9  85    0   42 284 -318  2
