Koordinatensystem : Lambert konform konisch
Rechtswert        : 4326500 Meter
Hochwert          : 2691500 Meter
Hoehenlage        : 235 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4326500 2691500  1  1  1   3.0  975 185  4.1 8  4.1  85    0    0 290 -316  0
4326500 2691500  1  1  2   2.1  975 182  4.0 8  3.9  87    0    0 300 -316  0
4326500 2691500  1  1  3   1.4  975 177  3.6 7  3.8  89    0    0 312 -316  0
4326500 2691500  1  1  4   1.4  975 164  2.9 7  3.8  88    0    0 302 -316  0
4326500 2691500  1  1  5   1.2  975 156  2.5 7  3.8  87    0    0 285 -315  0
4326500 2691500  1  1  6   0.9  975 105  1.7 7  3.7  87    0    0 284 -315  0
4326500 2691500  1  1  7   0.7  975 163  2.1 8  3.6  87    0    0 299 -314  0
4326500 2691500  1  1  8   0.5  976 192  2.1 8  3.6  87    0    0 307 -313  0
4326500 2691500  1  1  9   0.5  977 194  2.1 7  3.6  87    0   10 297 -314  0
4326500 2691500  1  1 10   1.0  977 195  2.7 8  3.6  86    3   56 298 -315  0
4326500 2691500  1  1 11   1.4  978 187  2.8 8  3.6  85    0   35 308 -316  0
4326500 2691500  1  1 12   1.9  978 193  3.0 8  3.7  84    0   64 309 -316  0
4326500 2691500  1  1 13   1.6  978 180  2.9 8  3.8  84    2  100 309 -317  0
4326500 2691500  1  1 14   1.9  978 185  1.4 8  3.8  85    1   87 308 -317  0
4326500 2691500  1  1 15   1.6  979 206  2.3 8  3.8  86    0   29 308 -317  0
4326500 2691500  1  1 16   1.8  979 200  1.6 8  3.9  87    0    5 308 -317  0
4326500 2691500  1  1 17   1.5  979 216  1.1 7  3.9  88    0    0 300 -317  0
4326500 2691500  1  1 18   1.8  980 176  1.1 5  3.9  88    0    0 278 -317  0
4326500 2691500  1  1 19   1.3  981 242  1.0 8  3.9  89    0    0 285 -315  0
4326500 2691500  1  1 20   1.1  981 272  1.4 8  3.9  91    0    0 306 -312  0
4326500 2691500  1  1 21   1.3  982 259  2.1 8  3.9  91    0    0 306 -310  0
4326500 2691500  1  1 22   1.2  982 336  1.4 8  3.8  90    0    0 306 -312  0
4326500 2691500  1  1 23   1.0  983 231  0.8 8  3.8  91    0    0 305 -313  0
4326500 2691500  1  1 24   1.2  983  82  0.2 7  3.9  91    0    0 298 -313  0
4326500 2691500  1  2  1   0.7  983 353  0.0 8  3.8  91    0    0 297 -314  0
4326500 2691500  1  2  2   0.7  983   1  0.0 8  3.8  92    0    0 304 -315  0
4326500 2691500  1  2  3   1.0  984 358  0.0 6  3.8  90    0    0 286 -315  0
4326500 2691500  1  2  4   0.8  985   3  0.1 8  3.8  90    0    0 285 -315  0
4326500 2691500  1  2  5   0.9  985   4  0.8 8  3.8  91    0    0 304 -315  0
4326500 2691500  1  2  6   0.9  985 281  1.5 8  3.8  91    0    0 305 -315  0
4326500 2691500  1  2  7   0.5  986 321  2.4 7  3.8  93    0    0 296 -315  0
4326500 2691500  1  2  8   0.7  986 312  1.1 8  3.8  94    0    0 296 -315  0
4326500 2691500  1  2  9   0.2  987 333  2.2 7  3.8  94    0    1 295 -315  0
4326500 2691500  1  2 10   0.3  987 322  2.0 5  3.8  95   10   64 268 -315  0
4326500 2691500  1  2 11   0.1  988 344  2.4 7  3.8  96    7   89 271 -315  0
4326500 2691500  1  2 12   0.1  988 336  1.7 7  3.8  96   14  126 288 -316  0
4326500 2691500  1  2 13   0.0  989 337  2.5 8  3.7  95    3  105 295 -316  0
4326500 2691500  1  2 14  -0.2  989 320  2.6 8  3.7  95    1   78 303 -316  0
4326500 2691500  1  2 15  -0.2  989 312  2.2 7  3.6  95    0   30 297 -316  0
4326500 2691500  1  2 16  -0.2  990 322  2.3 8  3.6  95    0    7 297 -315  0
4326500 2691500  1  2 17  -0.4  990 321  2.1 8  3.6  96    0    0 303 -314  0
4326500 2691500  1  2 18  -0.7  991 333  2.0 8  3.6  96    0    0 303 -313  0
4326500 2691500  1  2 19  -1.2  991 336  2.0 8  3.5  96    0    0 301 -313  0
4326500 2691500  1  2 20  -1.3  991 329  2.0 7  3.4  97    0    0 294 -313  0
4326500 2691500  1  2 21  -1.2  991 333  1.3 6  3.4  96    0    0 281 -314  0
4326500 2691500  1  2 22  -1.0  991 321  1.9 6  3.4  96    0    0 275 -314  0
4326500 2691500  1  2 23  -0.9  992 332  2.0 6  3.5  96    0    0 275 -315  0
4326500 2691500  1  2 24  -0.8  992 338  2.0 6  3.5  96    0    0 276 -315  0
4326500 2691500  1  3  1  -0.8  992 336  1.8 7  3.5  97    0    0 282 -315  0
4326500 2691500  1  3  2  -0.7  992 331  2.6 6  3.5  96    0    0 282 -315  0
4326500 2691500  1  3  3  -0.7  993 340  2.5 5  3.5  96    0    0 269 -314  0
4326500 2691500  1  3  4  -0.3  993 341  2.9 7  3.6  96    0    0 275 -314  0
4326500 2691500  1  3  5  -0.2  993 341  3.1 8  3.7  97    0    0 295 -314  0
4326500 2691500  1  3  6   0.0  994 331  3.0 8  3.8  98    0    0 301 -314  0
