Koordinatensystem : Lambert konform konisch
Rechtswert        : 4326500 Meter
Hochwert          : 2691500 Meter
Hoehenlage        : 235 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4326500 2691500  1  1  1   0.4  991 212  3.7 6  3.3  82    0    0 288 -280  3
4326500 2691500  1  1  2   0.2  991 223  4.0 7  3.2  82    0    0 288 -280  3
4326500 2691500  1  1  3  -0.1  990 224  4.3 8  3.2  82    0    0 286 -280  3
4326500 2691500  1  1  4  -0.4  990 214  4.5 8  3.2  83    0    0 284 -279  3
4326500 2691500  1  1  5  -0.6  989 206  4.7 8  3.1  83    0    0 282 -276  3
4326500 2691500  1  1  6  -1.0  988 202  4.9 8  3.1  84    0    0 280 -273  3
4326500 2691500  1  1  7  -1.1  988 203  5.5 8  3.1  85    0    0 280 -276  3
4326500 2691500  1  1  8  -0.5  987 209  5.6 8  3.1  84    0    0 283 -283  3
4326500 2691500  1  1  9  -0.4  987 232  5.4 8  3.2  84   10    6 286 -294  3
4326500 2691500  1  1 10   0.0  986 235  4.9 7  3.2  83   31   35 283 -303  3
4326500 2691500  1  1 11   0.4  985 252  5.7 7  3.3  83    8   65 279 -308  3
4326500 2691500  1  1 12   0.6  985 254  5.8 7  3.4  84    0   67 280 -310  3
4326500 2691500  1  1 13   1.3  985 267  6.2 7  3.5  83    0   54 281 -312  3
4326500 2691500  1  1 14   1.3  984 271  5.7 7  3.7  86    0   43 282 -313  3
4326500 2691500  1  1 15   1.1  984 267  5.4 7  3.8  88    0   23 282 -313  3
4326500 2691500  1  1 16   1.6  984 284  5.7 6  3.7  86    0    2 278 -313  3
4326500 2691500  1  1 17   1.4  985 293  5.6 6  3.7  84    0    0 273 -313  3
4326500 2691500  1  1 18   1.2  985 285  4.1 7  3.6  83    0    0 279 -311  3
4326500 2691500  1  1 19   1.1  985 278  4.8 8  3.5  82    0    0 291 -310  3
4326500 2691500  1  1 20   1.0  986 286  4.2 8  3.4  82    0    0 296 -308  3
4326500 2691500  1  1 21   0.9  986 281  4.1 8  3.4  82    0    0 295 -307  3
4326500 2691500  1  1 22   0.9  986 280  3.9 8  3.3  80    0    0 294 -307  3
4326500 2691500  1  1 23   0.7  986 279  3.5 8  3.3  80    0    0 294 -306  3
4326500 2691500  1  1 24   0.7  986 284  3.0 8  3.3  81    0    0 292 -305  3
4326500 2691500  1  2  1   0.6  986 283  3.4 7  3.3  81    0    0 284 -304  3
4326500 2691500  1  2  2   0.5  986 291  3.3 8  3.3  82    0    0 281 -303  3
4326500 2691500  1  2  3   0.3  986 299  2.9 8  3.3  83    0    0 285 -303  3
4326500 2691500  1  2  4   0.1  986 293  3.8 8  3.3  84    0    0 283 -302  3
4326500 2691500  1  2  5  -0.1  986 290  3.5 8  3.2  82    0    0 282 -302  3
4326500 2691500  1  2  6  -0.1  986 292  2.7 6  3.1  80    0    0 271 -302  3
4326500 2691500  1  2  7  -0.4  986 285  1.9 8  3.1  80    0    0 269 -302  3
4326500 2691500  1  2  8  -0.5  986 275  2.2 8  3.1  83    0    0 278 -302  3
4326500 2691500  1  2  9  -0.4  987 273  2.4 8  3.2  85    2   13 278 -302  3
4326500 2691500  1  2 10  -0.3  987 288  2.3 8  3.3  86    4   48 278 -302  3
4326500 2691500  1  2 11   0.0  988 289  2.6 6  3.3  85    1   66 268 -302  3
4326500 2691500  1  2 12   0.7  988 289  2.9 6  3.2  81    0   71 260 -303  3
4326500 2691500  1  2 13   0.3  988 285  2.5 7  3.2  78    0   58 266 -303  3
4326500 2691500  1  2 14   0.3  988 283  3.2 7  3.1  78    0   38 272 -303  3
4326500 2691500  1  2 15   0.2  988 276  2.9 8  3.2  80    0   23 277 -303  3
4326500 2691500  1  2 16   0.0  988 276  3.0 8  3.2  82    0    4 283 -303  3
4326500 2691500  1  2 17  -0.2  989 286  2.9 8  3.2  82    0    0 282 -303  3
